month,impressions,clicks,conversions,revenue,spend,CTR,CVR,response_rate,CPC,CAC,ROAS,AOV,reached_customers
2024-01-01,1111.0,68.0,12.0,2076.75,932.7700000000002,0.0612061206120612,0.17647058823529413,0.07547169811320754,13.717205882352944,77.73083333333335,2.2264330971193322,173.0625,156.0
2024-02-01,1621.0,98.0,27.0,6547.459999999999,2151.87,0.06045650832819247,0.2755102040816326,0.09765625,21.95785714285714,79.69888888888889,3.042683805248458,242.4985185185185,248.0
2024-03-01,1851.0,135.0,39.0,9927.710000000001,2583.3999999999996,0.07293354943273905,0.28888888888888886,0.11490683229813664,19.136296296296294,66.24102564102563,3.8428853448943263,254.5566666666667,294.0
2024-04-01,1263.0,142.0,46.0,10673.34,2514.08,0.11243072050673,0.323943661971831,0.14335664335664336,17.704788732394366,54.65391304347826,4.245425762107809,232.02913043478262,274.0
2024-05-01,1593.0,154.0,46.0,10770.220000000001,3033.83,0.09667294413057125,0.2987012987012987,0.13442622950819672,19.700194805194805,65.95282608695652,3.550040707620401,234.13521739130437,285.0
2024-06-01,2059.0,28.0,30.0,9625.96,2762.3599999999997,0.013598834385624089,1.0714285714285714,0.11637931034482758,98.65571428571427,92.07866666666665,3.484687006762334,320.8653333333333,225.0
2024-07-01,4532.0,119.0,67.0,19249.9,6397.2,0.026257722859664608,0.5630252100840336,0.11450381679389313,53.75798319327731,95.48059701492537,3.0091133620959174,287.31194029850747,462.0
2024-08-01,1651.0,40.0,10.0,2598.2700000000004,1490.94,0.024227740763173834,0.25,0.05389221556886228,37.2735,149.094,1.7427059439011632,259.82700000000006,160.0
2024-09-01,2622.0,137.0,47.0,8553.33,2155.75,0.05225019069412662,0.34306569343065696,0.11497326203208556,15.735401459854014,45.86702127659574,3.967681781282616,181.98574468085107,351.0
2024-10-01,1535.0,99.0,37.0,8358.45,1832.84,0.06449511400651466,0.37373737373737376,0.14732142857142858,18.513535353535353,49.53621621621621,4.56038170271273,225.9040540540541,217.0
2024-11-01,975.0,50.0,24.0,5422.14,1420.8999999999999,0.05128205128205128,0.48,0.1506849315068493,28.417999999999996,59.20416666666666,3.8159898655781554,225.9225,142.0
2024-12-01,1568.0,72.0,50.0,13504.210000000001,2454.5299999999997,0.04591836734693878,0.6944444444444444,0.18340611353711792,34.09069444444444,49.090599999999995,5.5017498258322375,270.0842,219.0
2025-01-01,1889.0,108.0,41.0,9720.41,3004.8699999999994,0.057173107464266806,0.37962962962962965,0.1291390728476821,27.822870370370364,73.28951219512194,3.2348853694169803,237.08317073170733,283.0
2025-02-01,1652.0,100.0,36.0,8785.71,1809.2199999999998,0.06053268765133172,0.36,0.1297709923664122,18.0922,50.2561111111111,4.8560760990924265,244.04749999999999,246.0
2025-03-01,1139.0,87.0,21.0,4958.85,1353.5700000000002,0.07638279192273925,0.2413793103448276,0.09950248756218906,15.558275862068967,64.4557142857143,3.663534209534786,236.1357142857143,187.0
2025-04-01,1570.0,134.0,36.0,8307.369999999999,2569.57,0.08535031847133757,0.26865671641791045,0.11379310344827587,19.17589552238806,71.37694444444445,3.23298061543371,230.76027777777776,278.0
2025-05-01,2473.0,183.0,56.0,13510.529999999999,3923.58,0.07399919126566923,0.30601092896174864,0.11791383219954649,21.44032786885246,70.06392857142858,3.443419020384445,241.25946428571427,395.0
2025-06-01,1657.0,29.0,8.0,1893.33,1140.96,0.017501508750754374,0.27586206896551724,0.0425531914893617,39.34344827586207,142.62,1.6594183845183004,236.66625,182.0
2025-07-01,1620.0,67.0,14.0,3350.28,1233.27,0.04135802469135803,0.208955223880597,0.05504587155963303,18.407014925373133,88.09071428571428,2.7165827434381766,239.3057142857143,209.0
2025-08-01,1372.0,79.0,13.0,2637.88,1182.41,0.0575801749271137,0.16455696202531644,0.05741626794258373,14.96721518987342,90.9546153846154,2.230935124026353,202.91384615384615,204.0
2025-09-01,1145.0,93.0,31.0,6992.82,1234.26,0.08122270742358079,0.3333333333333333,0.13425925925925927,13.271612903225806,39.81483870967742,5.665597199941665,225.5748387096774,204.0
2025-10-01,1419.0,72.0,18.0,3915.44,1321.51,0.0507399577167019,0.25,0.0776255707762557,18.354305555555555,73.41722222222222,2.9628530998630356,217.52444444444444,208.0
2025-11-01,1717.0,108.0,44.0,10902.92,1794.96,0.0629004076878276,0.4074074074074074,0.1388888888888889,16.62,40.79454545454546,6.074185497169854,247.79363636363635,263.0
2025-12-01,2713.0,122.0,51.0,12068.29,2811.44,0.04496866936970144,0.4180327868852459,0.10337078651685393,23.044590163934426,55.12627450980392,4.292565375750505,236.63313725490198,412.0
