campaign_id,impressions,clicks,conversions,revenue,spend,reached_customers,responders,channel_id,objective,start_date_key,duration_days,budget,CTR,CVR,response_rate,CPC,CAC,ROAS,profit,spend_per_customer
CMP-001,149,21,10,3550.3599999999997,359.98,46,9,1,Cross-sell,20251105,13,360.0,0.14093959731543623,0.47619047619047616,0.1956521739130435,17.14190476190476,35.998000000000005,9.862659036613143,3190.3799999999997,7.825652173913044
CMP-002,257,35,9,2027.66,680.0,61,9,1,Acquisition,20240201,30,680.0,0.13618677042801555,0.2571428571428571,0.14754098360655737,19.428571428571427,75.55555555555556,2.981852941176471,1347.66,11.147540983606557
CMP-003,292,17,3,679.64,259.95,30,3,3,Acquisition,20250305,26,260.0,0.05821917808219178,0.17647058823529413,0.1,15.291176470588235,86.64999999999999,2.6145027889978842,419.69,8.665
CMP-004,180,28,11,2694.5099999999998,320.07,61,10,1,Brand,20250908,21,320.0,0.15555555555555556,0.39285714285714285,0.16393442622950818,11.431071428571428,29.097272727272728,8.418502202643172,2374.4399999999996,5.247049180327869
CMP-005,52,6,4,923.66,110.02000000000001,18,4,1,Acquisition,20250709,16,110.0,0.11538461538461539,0.6666666666666666,0.2222222222222222,18.33666666666667,27.505000000000003,8.3953826576986,813.64,6.112222222222223
CMP-006,496,2,13,4713.61,639.86,50,12,5,Retention,20240208,34,640.0,0.004032258064516129,6.5,0.24,319.93,49.22,7.366627074672584,4073.7499999999995,12.7972
CMP-007,866,13,1,131.12,310.05,99,1,4,Acquisition,20251224,28,310.0,0.015011547344110854,0.07692307692307693,0.010101010101010102,23.85,310.05,0.4228995323334946,-178.93,3.131818181818182
CMP-008,116,17,9,1822.8400000000001,230.04,42,9,1,Acquisition,20241213,23,230.0,0.14655172413793102,0.5294117647058824,0.21428571428571427,13.531764705882352,25.56,7.924013215093028,1592.8000000000002,5.477142857142857
CMP-009,341,10,2,269.43,129.97,28,2,4,Retention,20240518,14,130.0,0.02932551319648094,0.2,0.07142857142857142,12.997,64.985,2.0730168500423174,139.46,4.641785714285715
CMP-010,128,10,4,1117.11,320.0,22,3,1,Retention,20250714,11,320.0,0.078125,0.4,0.13636363636363635,32.0,80.0,3.4909687499999995,797.1099999999999,14.545454545454545
CMP-011,1065,8,0,0.0,499.96000000000004,59,0,4,Acquisition,20250613,15,500.0,0.007511737089201878,0.0,0.0,62.495000000000005,,0.0,-499.96000000000004,8.473898305084747
CMP-012,281,20,8,1563.74,230.05,79,8,2,Retention,20250405,30,230.0,0.0711743772241993,0.4,0.10126582278481013,11.502500000000001,28.75625,6.7973918713323185,1333.69,2.912025316455696
CMP-013,351,19,2,294.35,289.99,46,2,3,Acquisition,20250511,8,290.0,0.05413105413105413,0.10526315789473684,0.043478260869565216,15.262631578947369,144.995,1.0150350012069382,4.360000000000014,6.304130434782609
CMP-014,521,17,5,758.62,549.99,37,4,3,Retention,20241023,9,550.0,0.03262955854126679,0.29411764705882354,0.10810810810810811,32.35235294117647,109.998,1.3793341697121766,208.63,14.864594594594594
CMP-015,61,8,3,709.77,119.99000000000001,16,3,1,Cross-sell,20250813,44,120.0,0.13114754098360656,0.375,0.1875,14.998750000000001,39.99666666666667,5.915242936911409,589.78,7.499375000000001
CMP-016,574,0,15,5121.98,780.01,51,14,5,Cross-sell,20250126,17,780.0,0.0,,0.27450980392156865,,52.00066666666667,6.566556839014884,4341.969999999999,15.294313725490197
CMP-017,102,8,3,594.41,240.0,32,3,1,Acquisition,20250425,11,240.0,0.0784313725490196,0.375,0.09375,30.0,80.0,2.4767083333333333,354.40999999999997,7.5
CMP-018,221,0,2,324.20000000000005,260.01,33,2,5,Acquisition,20240604,43,260.0,0.0,,0.06060606060606061,,130.005,1.2468751201876853,64.19000000000005,7.879090909090909
CMP-019,662,74,31,8287.97,1869.84,115,27,1,Cross-sell,20250422,22,1870.0,0.11178247734138973,0.4189189189189189,0.23478260869565218,25.268108108108105,60.317419354838705,4.43244876566979,6418.129999999999,16.259478260869564
CMP-020,68,2,0,0.0,150.0,18,0,1,Acquisition,20250620,7,150.0,0.029411764705882353,0.0,0.0,75.0,,0.0,-150.0,8.333333333333334
CMP-021,94,10,2,490.49999999999994,250.04000000000002,19,2,1,Brand,20240503,22,250.0,0.10638297872340426,0.2,0.10526315789473684,25.004,125.02000000000001,1.9616861302191646,240.45999999999992,13.160000000000002
CMP-022,170,9,4,899.73,119.99,54,4,2,Cross-sell,20251209,7,120.0,0.052941176470588235,0.4444444444444444,0.07407407407407407,13.33222222222222,29.9975,7.498374864572048,779.74,2.222037037037037
CMP-023,392,19,3,411.55,389.96,38,3,3,Acquisition,20240313,18,390.0,0.04846938775510204,0.15789473684210525,0.07894736842105263,20.524210526315787,129.98666666666665,1.055364652784901,21.590000000000032,10.262105263157894
CMP-024,178,8,2,350.6,129.94,36,2,3,Cross-sell,20240607,42,130.0,0.0449438202247191,0.25,0.05555555555555555,16.2425,64.97,2.6981683854086502,220.66000000000003,3.6094444444444442
CMP-025,1032,12,2,253.15,510.02000000000004,55,2,4,Acquisition,20240812,37,510.0,0.011627906976744186,0.16666666666666666,0.03636363636363636,42.50166666666667,255.01000000000002,0.49635308419277674,-256.87,9.273090909090909
CMP-026,511,29,4,620.9100000000001,470.12,55,4,3,Acquisition,20250906,22,470.0,0.05675146771037182,0.13793103448275862,0.07272727272727272,16.21103448275862,117.53,1.320747894154684,150.79000000000008,8.547636363636364
CMP-027,125,11,3,365.74,70.0,28,3,3,Brand,20240110,19,70.0,0.088,0.2727272727272727,0.10714285714285714,6.363636363636363,23.333333333333332,5.224857142857143,295.74,2.5
CMP-028,96,5,4,820.6499999999999,70.07,34,4,2,Cross-sell,20250312,29,70.0,0.052083333333333336,0.8,0.11764705882352941,14.014,17.5175,11.711859569002426,750.5799999999999,2.060882352941176
CMP-029,484,21,7,1137.14,450.12,49,7,3,Retention,20240920,30,450.0,0.04338842975206612,0.3333333333333333,0.14285714285714285,21.434285714285714,64.30285714285715,2.5263040966853287,687.0200000000001,9.186122448979592
CMP-030,905,6,13,4500.54,1490.05,52,12,5,Cross-sell,20241212,35,1490.0,0.0066298342541436465,2.1666666666666665,0.23076923076923078,248.34166666666667,114.61923076923077,3.0203952887487,3010.49,28.654807692307692
CMP-031,229,16,7,1371.79,219.85,62,4,2,Acquisition,20240411,27,220.0,0.06986899563318777,0.4375,0.06451612903225806,13.740625,31.407142857142855,6.23966340686832,1151.94,3.545967741935484
CMP-032,101,18,3,754.31,70.04,34,3,2,Cross-sell,20240625,9,70.0,0.1782178217821782,0.16666666666666666,0.08823529411764706,3.8911111111111114,23.346666666666668,10.769703026841803,684.27,2.06
CMP-033,148,14,1,168.11,90.0,57,1,2,Brand,20240315,39,90.0,0.0945945945945946,0.07142857142857142,0.017543859649122806,6.428571428571429,90.0,1.867888888888889,78.11000000000001,1.5789473684210527
CMP-034,374,42,16,4559.79,979.88,80,15,1,Cross-sell,20240701,19,980.0,0.11229946524064172,0.38095238095238093,0.1875,23.33047619047619,61.2425,4.65341674490754,3579.91,12.2485
